Portada Imagen,URL - IMDb / FilmAffinity,Trailer,Título,Resumen,Tiempo (min),Año,Género,Production Co.,Directores,Actores Protagónicos,Locación,Presupuesto,Taquilla,Idioma,Latitud,Longitud
https://m.media-amazon.com/images/M/MV5BMTY3ODY2MzYxMV5BMl5BanBnXkFtZTcwNjc3MjMyMQ@@._V1_.jpg,https://www.imdb.com/title/tt0252329,https://www.youtube.com/watch?v=pbNQCnsNXrE,Ciudad de M,"Después de agotar todas las vías legales en su búsqueda de trabajo, ""M"" lucha con la decisión de si entrar o no en una vida delictiva ayudando a sus amigos a entregar drogas a Miami.",102,2000,"Crimen, Drama",Torre de Babel Producciones,Felipe Degregori,"Santiago Magill, Christian Meier, Jorge Madueño",Lima,-,-,Español,-770.388.300,-119.291.300
https://m.media-amazon.com/images/G/01/IMDbPro/images/default_title._V142442180_.png,https://www.filmaffinity.com/es/film305245.html,https://www.youtube.com/watch?v=jcv_v347d9M&pp=ygUfbGEgeXVudGEgYnJhdmEgcGVsaWN1bGEgdHJhaWxlcg%3D%3D ,La Yunta Brava,"La vida y obra del escritor y pensador Jose Carlos Mariátegui, gran defensor de las libertades de la sociedad peruana.",96,2000,"Drama, Biografía",Cinematografica Kuntur S.A.,Federico García,"Julio Berrocal, Elena Pasapera, Emilio Robles",Lima,$500.000,-,Español,-770.388.300,-119.291.300
https://m.media-amazon.com/images/M/MV5BMDdjOTdiODktZTg5Yy00ZGQwLTlmYjAtNjA0Njc3OTI2MDhkXkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt7587454,https://www.youtube.com/watch?v=NC9QAaYLyX4,Qarqacha: El Demonio del Incesto/ Qarqacha: The Demon of Incest,"Tres estudiantes, que investigan la pobreza, se encuentran cara a cara con una llama en un pequeño pueblo peruano.",70,2000,Horror,-,Melinton Fusebio,"César Macario, Ivón Pacheco, Editt Torres",Perú,-,-,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BOTAxNDQ0OWEtMmNmYi00MTA5LWJhYmMtOTA5NDU0ZjFlOWVlXkEyXkFqcGc@._V1_.jpg,https://www.imdb.com/title/tt0296519/,https://www.youtube.com/watch?v=Brn7FdxBmOw,Bala perdida/ La bala perdida de Dios,"Un grupo de adolescentes ricos de Lima viajan a Cusco en busca de drogas, fiestas y sexo. Uno de ellos quiere encontrar a Pamela, a quien conoció cuando eran niños.",105,2001,"Crimen, Drama, Romance",Iguana Producciones,Aldo Salvini,"Rodrigo Sánchez Patiño, Daniela Sarfati, Aristóteles Picho, Gianfranco Brero",Cuzco,-,-,Español,-1.352.264,-7.196.734
https://m.media-amazon.com/images/M/MV5BNDdkZDE4MWEtYzk4OC00YjZiLTgwYTEtNGJhODRlYWVhYzcxXkEyXkFqcGc@._V1_.jpg,https://www.imdb.com/title/tt4366046,https://www.youtube.com/watch?v=Gs5ofhT_fBY&pp=ygUcbWkgY3JpbWVyIGFsIGRlc251ZG8gdHJhaWxlcg%3D%3D ,Mi crimen al desnudo,"El psicólogo Mario Poggi le cuenta su vida a la cantante de technocumbia Rossy War. Sentados en una banca de un parque, Poggi cuenta cuando quiso salvar a la ciudad de un terrible asesino serial que descuartizaba a sus víctimas después de violarlas y matarlas. ",91,2001,"Crimen, Drama, Thriller",Cine 2000,Leonidas Zegarra,"Maribel Alarcon, Julio Berrocal, Juana Judith Bustos",Perú,$11.000,-,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BZDYxOGI2ZGEtMTYxNi00MjRkLTkwZTktYmIyYTZhMjkwYTU0XkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt0327646,https://www.youtube.com/watch?v=g_wtO24Xfuo,Django: la otra cara,"Basado en hechos reales, este drama criminal narra las andanzas del ladrón Orlando González -alias Django- durante sus breves años de gloria. Luego de pasar un tiempo en la provincia, Django vuelve a Lima con su familia, intentando salirse del circuito criminal. Pero la aparición de la mujer de un cómplice muerto desatará en Django su ambición y su líbido. ",118,2002,"Acción, Crimen, Drama",Inca Films S.A.,Ricardo Velásquez,"Giovanni Ciccia, Melania Urbina, Sergio Galliani",Lima,$350.000,-,Español,-770.388.300,-119.291.300
https://m.media-amazon.com/images/M/MV5BNjA1ZGZjNjgtNTg0NS00MGQwLThhZDAtYTdjMzJkMmE3MWU1XkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt0322309,https://www.youtube.com/watch?v=SXS9AIahC2g,El forastero,"El forastero proviene de un planeta arrasado por el desorden ambiental y la lluvia nuclear. Aterriza en un paraje andino cerca del pequeño pueblo de Paucartambo, tiene apariencia de gringo y posee un completo dominio de las leyes y la física.",100,2002,"Comedia, Drama, Ciencia Ficción",Noski Producción S.L.,Federico García,"Nacho Duato, Neus Asensi, Carlos Sobera",El Álamo,-,$10.690,Español,4.023.066,-399
https://m.media-amazon.com/images/G/01/IMDbPro/images/default_title._V142442180_.png,https://pro.imdb.com/title/tt0340255,https://www.youtube.com/watch?v=G-mhQeTWg2g,Muerto de amor,"Mario es un corredor de la bolsa que tiene bastante dinero, el auto del año y una linda novia con la cual se irá a casar en poco tiempo. Sin embargo, a vísperas de cumplir treinta años, siente que no es feliz con su vida. Conoce a Berenice, una directora de teatro liberal e intempestiva, que le cambiará la vida. ",133,2002,"Comedia, Romance",Sur Producciones Audiovisuales,Edgardo Guerra,"Diego Bertie, Vanessa Robbiano, José Enrique Mavila",Perú,-,-,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BNzJkMzJhZGUtMDc3Ny00MjJmLTkzMGItOGZjMTc1NDk5OGE1XkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt6717032,https://www.youtube.com/watch?v=69B-zYNQNrI,Mártires del periodismo,"El 26 de enero de 1983 ,ocho periodistas partieron de la ciudad de Ayacucho hacia la comunidad de Huaychao (provincia de Huanta) para verificar la información sobre la muerte de 07 senderistas a manos de campesinos. Horas después , los periodistas y su guía serìan asesinados cerca de Uchuraccay. Esta es la recreación de un hecho que nunca pudo aclararse del todo.",118,2003,"Acción, Drama, Thriller",Wari Films,Luis Berrocal,"Martín Ccorahua, Ricardo Gómez, José Huertas",Ayacucho,-,-,Español,-1.315.878,-7.422.321
https://m.media-amazon.com/images/M/MV5BZTAyNWE5OGQtOTFlYy00MjQ5LTkzMjMtM2VjYTRjNWRiYmFkXkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt0416958,https://www.youtube.com/watch?v=049DBKUo57w,Un marciano llamado deseo,"Jorge (Christian Meier) sueña con irse a vivir a Estados Unidos. Le encanta el estilo de vida americano y sobre todo, las gringas, pero en la embajada norteamericana le niegan la visa. Esa tarde se encuentra con el Ganzo López (César Ritter) a quien le acaban de dar la “Greencard” porque se casó con una gringa. Jorge decide entonces que la solución a sus problemas está en casarse también con una gringa y viaja al Cuzco a buscarla. A los pocos días, conoce a Shirley (Robin Hunter), una chica preciosa, alta, rubia y de ojos azules, la “Greencard perfecta”. Inmediatamente trata de seducirla pero Shirley lo rechaza porque no le interesan los humanos. Ella ha ido al Cusco para tener avistamientos de OVNIS y encuentros cercanos del tercer tipo porque está convencida de que Machu Picchu fue construido por extraterrestres. Shirley se afilia al “Círculo Intergaláctico”, un organismo liderado por Ezequiel (Adolfo Chuiman) que agrupa a turistas ansiosos de experiencias interespaciales.",80,2003,Ciencia Ficción,Focus Producciones S.r.l.,Antonio Fortunic,"Adolfo Chuiman, Robin Hunter, Christian Meier",Cuzco,-,-,Español,-1.352.264,-7.196.734
https://m.media-amazon.com/images/M/MV5BMTM1ZTExY2YtMTQyMi00NDYwLWEzZTAtN2ZhODczNDIwMjdjXkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt3811466,https://www.youtube.com/watch?v=vsmfFDwGE9o,Baño de Damas,"Los incidentes que ocurren en la pista de baile y en el baño de damas de una discoteca tropical de moda cambiarán la vida de un diputado machista, una esposa ingenua y sojuzgada, una pareja de lesbianas no muy fieles, un travestí que sueña con cambiar de sexo y una profesora de colegio atildada que pierde los papeles por el trago. ",86,2003,"Comedia, Drama",Iguana Producciones,Michel Katz,"Lorena Meritano, Eduardo Santamarina, Viviana Gibelli",Perú,-,-,Español,-9.189.967,-75.015.152
https://m.media-amazon.com/images/M/MV5BMTMxNjQ5MjM3MF5BMl5BanBnXkFtZTcwMzA4MTAyMw@@._V1_.jpg,https://www.imdb.com/title/tt0369837,https://www.youtube.com/watch?v=fr0lCO2G-y4,Polvo enamorado,"Cuando tenía 17 años de edad, Natalia se casó con don Matías, siguiendo los deseos de sus padres. Pero no fue hasta que el padre de Santiago llega a esta pequeña ciudad que Natalia se enamora por vez primera. ",105,2003,"Crimen, Drama, Thriller",Incacine S.A.C.,Luis Barrios,"Gianella Neyra, Paul Vega, Gustavo Bueno",Lima,-,-,Español,-770.388.300,-119.291.300
"https://m.media-amazon.com/images/M/MV5BMjEzOTMwMzAwNl5BMl5BanBnXkFtZTcwMDc4NTMzMQ@@._V1_UY290_CR0,0,196,290_.jpg",https://www.imdb.com/title/tt0366839/,https://www.youtube.com/watch?v=KYBNLwyxctA,Ojos que no ven,"En Perú, en septiembre del año 2000, un canal de TV divulgó un vídeo en el que Vladimiro Montesinos, jefe del Servicio de Inteligencia y asesor del presidente Alberto Fujimori, compraba los ""servicios"" de un congresista de la oposición. Fue el punto de partida que permitió develar el monstruoso aparato de corrupción que alcanzaba a jueces, fiscales, militares, empresarios, políticos, dueños de canales de TV y periódicos, a quienes Montesinos en su afán de perpetuar el poder del gobierno, grababa con cámaras escondidas mientras negociaban ""arreglos económicos"". La difusión de ese primer vídeo generó un escándalo público que propició la caída del régimen y el descubrimiento de una red de corrupción que alcanzaba dimensiones jamás vistas. A través de seis historias paralelas que se desarrollan durante esta época de profunda crisis en el país, se narra la descomposición moral que inundó los diferentes estratos y generaciones de la sociedad peruana.",95,2003,"Crimen, Suspenso, Drama",Aldea Films,Francisco J. Lombardi,"Melania Urbina, Paúl Vega, Tatiana Astengo, Gianfranco Brero, Gustavo Bueno, Patricia Pereyra",Lima,-,-,Español,-770.388.300,-119.291.300
https://m.media-amazon.com/images/M/MV5BYWQyYTJmMmQtNjQ5Zi00ODdhLWE0NDctNDBlMjE2ZjE1MTE5XkEyXkFqcGc@._V1_.jpg,https://pro.imdb.com/title/tt0427377,https://www.youtube.com/watch?v=_02l6c3KEPg,Imposible amor,"Un periodista que odia a un tipo que sale en la tele, tiene que entrevistarlo, a continuación termina haciendo el amor con este una y otra vez, al final se separan de tanto amarse. Otra historia es la de un viejo que enseña en el piano una melodía hermosa a un niño muy pequeño, a su vez este hombre ve por todas partes a una joven muy preciosa que resulta ser un amor del pasado, ella es un fantasma que se encarna en el cuerpo de todas las mujeres que él observa. El niño que aprende piano tiene un abuelo que lo quiere mucho y lo engríe bastante, sin embargo a la madre del niño no le gusta que salga con el abuelo porque lo nota muy raro al niño. La última historia es la de una mujer de mundo que desea que San Antonio le conceda el milagro que un monaguillo se fije en ella y luego se case con ella.",106,2003,Drama,Películas del Pacífico S.r.l.,Armando Robles Godoy,"Mónica Sánchez, Javier Echevarría, Gianella Neyra",Barranco,-,-,Español,-119.291.300,-770.388.300
